order_id;customer_name;city;order_date;category;total_amount;payment_method
ORD0523;Сергей Лебедев;Ростов-на-Дону;2024-01-01;Ноутбуки;30000,0;Банковская карта
ORD0150;Елена Ильина;Москва;2024-01-01;Аксессуары;592,67;Наличные при получении
ORD0170;Светлана Петрова;Екатеринбург;2024-01-01;Ноутбуки;30000,0;Банковская карта
ORD0388;Игорь Кузнецов;Москва;2024-01-01;Смартфоны;17800,37;Наличные при получении
ORD0216;Елена Ильина;Москва;2024-01-02;Смартфоны;15000,0;Банковская карта
ORD0573;Анна Морозова;Санкт-Петербург;2024-01-02;Наушники;2000,0;Банковская карта
ORD0652;Дмитрий Волков;Екатеринбург;2024-01-02;Ноутбуки;30000,0;Банковская карта
ORD0141;Дмитрий Волков;Ростов-на-Дону;2024-01-03;Аксессуары;500,0;Наличные при получении
ORD0340;Дмитрий Волков;Москва;2024-01-03;Смартфоны;20374,51;Банковская карта
ORD0808;Владимир Медведев;Омск;2024-01-03;Смартфоны;15843,42;Банковская карта
ORD0396;Роман Смирнов;Ростов-на-Дону;2024-01-03;Аксессуары;500,0;Банковская карта
ORD0763;Владимир Медведев;Москва;2024-01-04;Смартфоны;15000,0;Наличные при получении
ORD0860;Андрей Васильев;Москва;2024-01-04;Наушники;2506,18;Банковская карта
ORD0817;Владимир Медведев;Екатеринбург;2024-01-05;Ноутбуки;30000,0;Банковская карта
ORD0172;Мария Сидорова;Москва;2024-01-05;Игровые консоли;60000,0;Банковская карта
ORD0649;Анна Морозова;Челябинск;2024-01-06;Аксессуары;590,93;Банковская карта
ORD0713;Светлана Петрова;Новосибирск;2024-01-06;Аксессуары;500,0;Банковская карта
ORD0212;Елена Ильина;Нижний Новгород;2024-01-06;Планшеты;10437,75;Наличные при получении
ORD0553;Юлия Кравцова;Екатеринбург;2024-01-07;Аксессуары;500,0;Наличные при получении
ORD0432;Игорь Кузнецов;Челябинск;2024-01-07;Планшеты;10000,0;Наличные при получении
ORD0455;Ольга Соколова;Москва;2024-01-07;Смартфоны;15000,0;Банковская карта
ORD0684;Максим Борисов;Казань;2024-01-07;Аксессуары;500,0;Банковская карта
ORD0433;Сергей Лебедев;Казань;2024-01-07;Планшеты;10000,0;Электронный кошелек
ORD0019;Юлия Кравцова;Санкт-Петербург;2024-01-07;Игровые консоли;20000,0;Банковская карта
ORD0971;Елена Ильина;Казань;2024-01-07;Смартфоны;16545,53;Банковская карта
ORD0003;Сергей Лебедев;Нижний Новгород;2024-01-07;Аксессуары;703,73;Электронный кошелек
ORD0972;Юлия Кравцова;Ростов-на-Дону;2024-01-07;Аксессуары;500,0;Банковская карта
ORD0552;Елена Ильина;Самара;2024-01-07;Наушники;2000,0;Банковская карта
ORD0685;Ольга Соколова;Омск;2024-01-07;Смартфоны;15448,97;Банковская карта
ORD0709;Виктория Зайцева;Москва;2024-01-08;Наушники;2000,0;Банковская карта
ORD0014;Игорь Кузнецов;Москва;2024-01-08;Смартфоны;26164,26;Банковская карта
ORD0469;Дмитрий Волков;Москва;2024-01-08;Аксессуары;608,81;Банковская карта
ORD0669;Елена Ильина;Москва;2024-01-08;Смартфоны;15000,0;Наличные при получении
ORD0926;Андрей Васильев;Москва;2024-01-09;Смартфоны;29540,78;Электронный кошелек
ORD0222;Ольга Соколова;Екатеринбург;2024-01-09;Смартфоны;15000,0;Банковская карта
ORD0013;Сергей Лебедев;Самара;2024-01-09;Игровые консоли;20000,0;Электронный кошелек
ORD0093;Татьяна Орлова;Челябинск;2024-01-09;Наушники;2000,0;Банковская карта
ORD0445;Дмитрий Волков;Самара;2024-01-10;Аксессуары;500,0;Банковская карта
ORD0476;Виктория Зайцева;Ростов-на-Дону;2024-01-10;Наушники;4688,91;Электронный кошелек
ORD0753;Андрей Васильев;Казань;2024-01-11;Смартфоны;34219,33;Банковская карта
ORD0414;Виктория Зайцева;Екатеринбург;2024-01-11;Смартфоны;15000,0;Банковская карта
ORD0863;Виктория Зайцева;Новосибирск;2024-01-12;Смартфоны;34524,26;Электронный кошелек
ORD0487;Екатерина Новикова;Москва;2024-01-12;Ноутбуки;77731,9;Банковская карта
ORD0387;Сергей Лебедев;Москва;2024-01-12;Аксессуары;500,0;Банковская карта
ORD0044;Максим Борисов;Омск;2024-01-12;Наушники;2000,0;Банковская карта
ORD0689;Светлана Петрова;Челябинск;2024-01-13;Наушники;2000,0;Банковская карта
ORD0690;Виктория Зайцева;Москва;2024-01-13;Аксессуары;500,0;Банковская карта
ORD0268;Елена Ильина;Нижний Новгород;2024-01-13;Планшеты;10418,5;Наличные при получении
ORD0127;Ольга Соколова;Самара;2024-01-13;Смартфоны;15000,0;Наличные при получении
ORD0302;Алексей Козлов;Екатеринбург;2024-01-13;Игровые консоли;42750,22;Банковская карта
ORD0864;Ольга Соколова;Санкт-Петербург;2024-01-14;Планшеты;21417,42;Банковская карта
ORD0245;Алексей Козлов;Москва;2024-01-14;Аксессуары;764,2;Электронный кошелек
ORD0889;Наталья Федорова;Москва;2024-01-14;Наушники;2193,51;Наличные при получении
ORD0890;Юлия Кравцова;Москва;2024-01-14;Игровые консоли;31966,55;Наличные при получении
ORD0301;Виктория Зайцева;Москва;2024-01-15;Смартфоны;15000,0;Наличные при получении
ORD0090;Андрей Васильев;Новосибирск;2024-01-15;Смартфоны;15000,0;Банковская карта
ORD0296;Ольга Соколова;Новосибирск;2024-01-15;Смартфоны;15000,0;Банковская карта
ORD0639;Ольга Соколова;Москва;2024-01-16;Игровые консоли;20000,0;Электронный кошелек
ORD0951;Андрей Васильев;Екатеринбург;2024-01-16;Смартфоны;17766,71;Наличные при получении
ORD0277;Алексей Козлов;Челябинск;2024-01-16;Смартфоны;30257,23;Наличные при получении
ORD0248;Максим Борисов;Ростов-на-Дону;2024-01-16;Смартфоны;16671,36;Наличные при получении
ORD0883;Алексей Козлов;Москва;2024-01-17;Наушники;2000,0;Банковская карта
ORD0132;Наталья Федорова;Москва;2024-01-17;Планшеты;23624,26;Банковская карта
ORD0210;Елена Ильина;Москва;2024-01-17;Игровые консоли;31749,19;Электронный кошелек
ORD0460;Ольга Соколова;Москва;2024-01-18;Наушники;2000,0;Банковская карта
ORD0184;Мария Сидорова;Омск;2024-01-18;Игровые консоли;20000,0;Банковская карта
ORD0311;Андрей Васильев;Санкт-Петербург;2024-01-18;Смартфоны;15000,0;Банковская карта
ORD0349;Сергей Лебедев;Санкт-Петербург;2024-01-18;Игровые консоли;27296,74;Банковская карта
ORD0220;Елена Ильина;Самара;2024-01-18;Ноутбуки;30000,0;Банковская карта
ORD0759;Юлия Кравцова;Омск;2024-01-18;Смартфоны;18790,51;Наличные при получении
ORD0558;Виктория Зайцева;Москва;2024-01-19;Ноутбуки;30000,0;Банковская карта
ORD0339;Владимир Медведев;Новосибирск;2024-01-19;Смартфоны;21899,08;Банковская карта
ORD0933;Андрей Васильев;Ростов-на-Дону;2024-01-19;Планшеты;10000,0;Банковская карта
