employee_id;first_name;last_name;department;position;salary;years_experience;age;education_level;performance_rating;hire_date
EMP0001;Анна;Михайлов;Engineering;Senior;215500,0;6;29;Master;4;2019-08-08
EMP0002;Дмитрий;Алексеев;Engineering;Senior;203200,0;3;27;Master;4;2022-11-06
EMP0003;Николай;Смирнов;Engineering;Mid;132500,0;3;28;Bachelor;4;2022-02-19
EMP0004;Анна;Волков;Engineering;Senior;216300,0;9;35;Master;4;2016-12-27
EMP0005;Наталья;Козлов;Engineering;Mid;124800,0;3;27;Bachelor;4;2023-05-11
EMP0006;Андрей;Фёдоров;Engineering;Mid;158100,0;6;30;Master;4;2019-11-24
EMP0007;Анна;Попов;Engineering;Mid;140500,0;7;31;Bachelor;4;2018-09-05
EMP0008;Иван;Фёдоров;Engineering;Senior;213400,0;9;37;Master;4;2016-04-01
EMP0009;Наталья;Фёдоров;Engineering;Lead;340100,0;16;40;Master;4;2009-06-15
EMP0010;Ольга;Попов;Engineering;Junior;91200,0;1;26;Bachelor;4;2024-05-01
EMP0011;Алексей;Алексеев;Engineering;Junior;92500,0;3;31;Bachelor;3;2022-12-12
EMP0012;Дмитрий;Медведев;Engineering;Senior;252100,0;3;29;PhD;5;2022-10-12
EMP0013;Максим;Сидоров;Engineering;Mid;201800,0;8;31;PhD;4;2017-07-21
EMP0014;Алексей;Фёдоров;Engineering;Senior;194000,0;7;29;Bachelor;4;2018-03-02
EMP0015;Владимир;Смирнов;Engineering;Junior;109900,0;1;24;Master;5;2024-05-26
EMP0016;Анна;Сидоров;Engineering;Mid;115600,0;2;24;Bachelor;5;2023-07-10
EMP0017;Иван;Кузнецов;Engineering;Mid;171400,0;4;28;PhD;5;2021-11-05
EMP0018;Алексей;Новиков;Engineering;Mid;157900,0;5;26;Master;4;2020-11-10
EMP0019;Юлия;Степанов;Engineering;Senior;193100,0;7;30;Bachelor;4;2018-11-25
EMP0020;Екатерина;Михайлов;Engineering;Mid;137300,0;5;30;Bachelor;4;2020-06-24
EMP0021;Екатерина;Петров;Engineering;Junior;80500,0;1;26;Bachelor;4;2024-08-07
EMP0022;Татьяна;Фёдоров;Engineering;Lead;291100,0;8;35;Master;4;2017-11-19
EMP0023;Роман;Семёнов;Engineering;Mid;151600,0;3;29;Master;4;2022-04-20
EMP0024;Сергей;Медведев;Engineering;Junior;33606,0;2;26;Master;3;2024-01-11
EMP0025;Роман;Степанов;Engineering;Mid;150100,0;4;28;Master;4;2021-07-01
EMP0026;Андрей;Иванов;Engineering;Mid;131400,0;6;29;Bachelor;4;2019-08-30
EMP0027;Максим;Егоров;Engineering;Junior;81900,0;1;28;Bachelor;4;2024-08-19
EMP0028;Юлия;Козлов;Engineering;VP;611600,0;13;39;Bachelor;4;2012-10-10
EMP0029;Виктория;Семёнов;Engineering;Senior;203500,0;3;28;Master;4;2023-01-04
EMP0030;Роман;Алексеев;Engineering;Mid;141100,0;4;28;Bachelor;5;2021-08-19
EMP0031;Светлана;Егоров;Engineering;Lead;285500,0;9;32;Master;4;2016-09-24
EMP0032;Анна;Попов;Engineering;Senior;193100,0;12;37;Bachelor;4;2013-09-13
EMP0033;Дмитрий;Семёнов;Engineering;Manager;396800,0;16;39;PhD;4;2009-04-02
EMP0034;Николай;Попов;Engineering;Mid;134400,0;6;30;Bachelor;4;2019-11-14
EMP0035;Андрей;Фёдоров;Engineering;VP;568300,0;9;31;Master;3;2016-11-13
EMP0036;Наталья;Волков;Engineering;Senior;190000,0;6;28;Bachelor;4;2019-12-26
EMP0037;Дмитрий;Лебедев;Engineering;Mid;156000,0;6;28;Bachelor;5;2019-08-02
EMP0038;Максим;Степанов;Engineering;Manager;409700,0;16;40;Master;5;2009-08-10
EMP0039;Андрей;Иванов;Engineering;Junior;92800,0;1;25;Master;3;2024-09-12
EMP0040;Сергей;Степанов;Engineering;Lead;323300,0;11;31;Master;4;2014-03-22
EMP0041;Дмитрий;Морозов;Engineering;Mid;150800,0;2;22;Master;4;2023-08-30
EMP0042;Алексей;Морозов;Engineering;Mid;135000,0;4;28;Master;3;2021-09-16
EMP0043;Ольга;Волков;Engineering;Mid;164500,0;5;30;Master;4;2020-10-25
EMP0044;Наталья;Егоров;Engineering;Mid;121300,0;7;30;Bachelor;4;2018-05-15
EMP0045;Анна;Новиков;Engineering;Mid;149500,0;3;25;Bachelor;5;2022-07-17
EMP0046;Екатерина;Соколов;Engineering;Manager;301000,0;7;31;Bachelor;4;2019-02-02
EMP0047;Наталья;Семёнов;Engineering;Mid;151800,0;6;28;Bachelor;4;2019-08-01
EMP0048;Мария;Кузнецов;Engineering;Mid;149500,0;8;32;Master;4;2017-06-29
EMP0049;Наталья;Лебедев;Engineering;Senior;206800,0;9;33;Master;4;2016-11-11
EMP0050;Максим;Лебедев;Engineering;Manager;360500,0;16;41;Master;4;2009-05-05
EMP0051;Анна;Иванов;Engineering;Senior;213700,0;8;32;Master;4;2017-12-22
EMP0052;Иван;Лебедев;Engineering;Mid;139200,0;6;30;Bachelor;4;2019-09-23
EMP0053;Сергей;Иванов;Engineering;Lead;223000,0;5;28;Bachelor;3;2020-07-31
EMP0054;Николай;Морозов;Engineering;Senior;186100,0;10;31;Bachelor;3;2015-06-14
EMP0055;Николай;Алексеев;Engineering;Mid;139400,0;5;29;Master;4;2020-04-02
EMP0056;Юлия;Иванов;Engineering;Mid;125500,0;4;28;Bachelor;4;2021-12-25
EMP0057;Елена;Медведев;Engineering;Manager;338700,0;13;36;Master;4;2012-06-12
EMP0058;Дмитрий;Егоров;Engineering;Mid;113600,0;4;29;Bachelor;3;2021-04-02
EMP0059;Светлана;Сидоров;Engineering;Manager;361500,0;11;36;Master;4;2014-08-02
EMP0060;Дмитрий;Алексеев;Engineering;Junior;78800,0;1;25;Bachelor;4;2024-06-26
EMP0061;Алексей;Козлов;Engineering;Mid;130400,0;5;29;Bachelor;4;2020-09-26
EMP0062;Максим;Сидоров;Engineering;Senior;191800,0;9;35;Bachelor;4;2017-02-12
EMP0063;Наталья;Волков;Engineering;Senior;295900,0;8;31;PhD;5;2017-09-20
EMP0064;Алексей;Фёдоров;Engineering;Senior;225600,0;7;29;Master;3;2018-09-07
EMP0065;Николай;Семёнов;Engineering;Mid;132700,0;6;30;Bachelor;5;2019-12-09
EMP0066;Анна;Козлов;Engineering;Mid;152700,0;6;30;Bachelor;4;2020-01-08
EMP0067;Андрей;Алексеев;Engineering;VP;602800,0;11;35;Master;3;2014-06-14
EMP0068;Светлана;Иванов;Engineering;Mid;133600,0;3;27;Master;4;2022-08-20
EMP0069;Мария;Алексеев;Engineering;Senior;235700,0;5;30;Master;4;2020-11-24
EMP0070;Дмитрий;Кузнецов;Engineering;Senior;247400,0;7;31;Master;5;2018-12-28
EMP0071;Светлана;Соколов;Engineering;Mid;149300,0;4;28;Master;3;2022-03-31
EMP0072;Дмитрий;Петров;Engineering;Junior;106900,0;1;25;Master;4;2024-08-31
EMP0073;Роман;Волков;Engineering;Junior;80500,0;2;26;Bachelor;4;2023-12-19
EMP0074;Наталья;Новиков;Engineering;Manager;414000,0;15;39;Master;5;2010-06-13
EMP0075;Иван;Новиков;Engineering;Senior;225400,0;11;36;Master;3;2014-04-27
EMP0076;Максим;Морозов;Engineering;Junior;87800,0;0;22;Bachelor;3;2025-08-06
EMP0077;Иван;Козлов;Engineering;Senior;207700,0;7;31;Bachelor;4;2018-09-14
EMP0078;Андрей;Егоров;Engineering;Senior;207200,0;4;28;Master;3;2021-12-09
EMP0079;Елена;Попов;Engineering;Mid;185300,0;4;27;Master;5;2021-08-13
EMP0080;Игорь;Волков;Engineering;Manager;317000,0;10;35;Master;4;2015-12-04
EMP0081;Юлия;Петров;Engineering;Mid;182000,0;3;25;PhD;4;2022-12-15
EMP0082;Иван;Лебедев;Engineering;VP;628400,0;7;32;Bachelor;5;2018-08-23
EMP0083;Алексей;Морозов;Engineering;Junior;93900,0;2;25;Master;4;2024-01-08
EMP0084;Владимир;Лебедев;Engineering;Junior;89700,0;1;25;Bachelor;4;2024-07-05
EMP0085;Татьяна;Алексеев;Engineering;Junior;139700,0;3;30;PhD;4;2022-07-16
EMP0086;Алексей;Попов;Engineering;Senior;241800,0;7;32;Master;4;2018-10-18
EMP0087;Роман;Фёдоров;Engineering;Senior;197700,0;10;34;Bachelor;4;2016-02-07
EMP0088;Роман;Егоров;Engineering;Manager;251500,0;11;36;Bachelor;4;2014-09-17
EMP0089;Наталья;Кузнецов;Engineering;Mid;146600,0;4;31;Master;5;2021-07-20
EMP0090;Андрей;Егоров;Engineering;Senior;209300,0;7;31;Master;3;2019-01-16
EMP0091;Елена;Козлов;Engineering;Mid;154600,0;8;34;Bachelor;5;2017-10-17
EMP0092;Светлана;Соколов;Engineering;Senior;237400,0;10;34;Master;3;2015-05-16
