customer_id;age;annual_spend;satisfaction;city;is_premium;gender
6253;66;2182;4,0;Санкт-Петербург;0;М
4685;22;878;3,7;Новосибирск;0;Ж
1732;30;4839;2,8;Москва;1;М
4743;35;5547;4,0;Москва;0;М
4522;47;68533;2,2;Москва;1;Ж
6341;23;5987;3,8;Москва;0;Ж
577;37;2050;4,6;Новосибирск;0;М
5203;36;6725;3,0;Москва;0;Ж
6364;43;15364;3,8;Санкт-Петербург;0;М
440;34;23712;5,0;Екатеринбург;1;Ж
2751;56;3042;3,8;Санкт-Петербург;0;Ж
7488;40;12004;4,7;Москва;1;М
5273;20;12904;3,2;Санкт-Петербург;0;М
5654;48;24958;5,0;Новосибирск;1;Ж
4000;39;2129;4,7;Екатеринбург;0;Ж
6034;24;4452;4,5;Екатеринбург;0;Ж
583;42;27577;3,6;Новосибирск;1;М
9931;26;21025;2,8;Новосибирск;0;Ж
7052;39;4734;4,3;Москва;0;Ж
8159;40;2342;3,4;Казань;0;М
9897;29;2627;2,8;Санкт-Петербург;1;М
2250;46;6955;4,3;Москва;1;Ж
4641;44;3537;3,4;Москва;1;Ж
9486;50;8541;3,8;Москва;1;Ж
4948;18;15171;3,9;Москва;0;Ж
9921;22;8247;4,9;Москва;1;Ж
1964;42;31925;2,1;Новосибирск;1;Ж
8244;51;6920;3,4;Казань;0;Ж
6591;32;4527;3,7;Москва;0;М
8848;36;1667;2,7;Санкт-Петербург;0;Ж
322;42;11947;3,7;Москва;1;М
2679;36;6975;2,4;Москва;0;М
4626;50;3434;3,5;Екатеринбург;0;Ж
4950;40;3673;3,9;Санкт-Петербург;0;М
8329;35;20081;3,6;Екатеринбург;1;М
3338;33;7264;2,9;Москва;1;Ж
5590;53;5446;3,8;Москва;0;М
252;46;26453;3,0;Санкт-Петербург;0;М
3974;36;1361;4,1;Москва;0;Ж
6631;18;5701;3,7;Москва;0;Ж
5548;40;54248;3,3;Москва;0;М
36;20;6026;4,2;Новосибирск;1;М
8363;19;6482;4,9;Москва;0;Ж
1514;18;3401;3,6;Москва;0;Ж
9318;23;5981;4,1;Казань;0;М
40;37;7164;1,9;Новосибирск;0;Ж
4820;31;3568;4,9;Санкт-Петербург;1;Ж
3466;18;2513;2,1;Москва;0;Ж
1761;54;855;5,0;Санкт-Петербург;0;Ж
2305;58;36036;4,0;Москва;1;М
3724;18;11164;4,8;Москва;1;М
8285;22;2383;4,6;Новосибирск;0;Ж
4994;41;6139;4,6;Санкт-Петербург;0;Ж
8128;23;26517;3,0;Новосибирск;1;М
3033;40;2850;1,4;Москва;0;М
7939;52;7611;3,7;Москва;1;Ж
3040;32;2006;4,4;Москва;0;М
9656;50;13508;2,8;Санкт-Петербург;0;М
2546;40;4365;4,0;Москва;0;М
2593;34;3167;2,2;Новосибирск;0;Ж
1189;41;6819;4,6;Москва;1;Ж
7967;47;748;3,1;Москва;0;М
6078;24;9424;4,4;Екатеринбург;0;М
108;37;628;4,3;Санкт-Петербург;1;Ж
1316;19;8777;2,9;Москва;0;М
8188;42;3375;3,9;Москва;0;Ж
2754;33;13525;2,8;Новосибирск;1;Ж
9754;39;9068;2,1;Казань;0;Ж
6232;30;5847;2,5;Санкт-Петербург;0;М
2877;23;8149;1,3;Новосибирск;0;М
5324;37;2412;2,9;Екатеринбург;0;М
800;35;4326;1,7;Екатеринбург;0;М
3571;31;8776;4,2;Санкт-Петербург;0;М
2895;41;2845;3,9;Новосибирск;0;Ж
2928;37;14850;4,0;Москва;0;Ж
8179;44;2312;3,1;Екатеринбург;0;Ж
972;26;7031;3,6;Новосибирск;0;Ж
6688;23;12132;2,9;Екатеринбург;1;Ж
8576;39;3320;2,7;Москва;1;Ж
2021;35;58094;3,5;Казань;1;М
9055;18;7314;4,8;Москва;0;Ж
953;19;13694;4,7;Санкт-Петербург;1;М
5360;31;1518;4,4;Новосибирск;0;М
3858;42;3629;2,6;Санкт-Петербург;0;Ж
5862;49;5713;3,4;Новосибирск;0;М
3146;40;3413;4,4;Новосибирск;0;Ж
3306;47;5263;4,9;Санкт-Петербург;0;Ж
3007;40;2604;4,1;Екатеринбург;1;М
9002;47;7745;4,2;Москва;1;Ж
7771;45;1782;4,6;Москва;0;Ж
7439;18;13511;3,5;Екатеринбург;0;М
7943;18;8474;3,3;Москва;1;М
9239;24;38705;3,1;Москва;1;М
1057;34;2799;3,9;Казань;0;М
3155;22;5911;4,5;Новосибирск;0;М
3788;24;12827;4,6;Казань;0;Ж
9190;54;1253;4,7;Новосибирск;1;М
