customer_id;customer_name;age_group;gender;region;registration_date
PC001;Мария Петров;36-45;М;Сибирский;2022-01-18
PC002;Ирина Смирнов;46-55;Ж;Центральный;2022-02-14
PC003;Владимир Новиков;26-35;М;Центральный;2022-02-25
PC004;Елена Семенов;26-35;М;Центральный;2022-02-26
PC005;Мария Морозов;36-45;Ж;Центральный;2022-03-13
PC006;Николай Новиков;18-25;Ж;Приволжский;2022-03-13
PC007;Татьяна Лебедев;26-35;М;Сибирский;2022-03-15
PC008;Александр Сидоров;26-35;Ж;Центральный;2022-03-15
PC009;Сергей Семенов;46-55;Ж;Северо-Западный;2022-03-17
PC010;Андрей Семенов;56+;Ж;Центральный;2022-03-23
PC011;Елена Лебедев;46-55;Ж;Сибирский;2022-03-27
PC012;Владимир Богданов;46-55;Ж;Сибирский;2022-03-30
PC013;Мария Смирнов;26-35;Ж;Уральский;2022-04-12
PC014;Владимир Новиков;18-25;Ж;Северо-Западный;2022-04-27
PC015;Сергей Козлов;26-35;М;Северо-Западный;2022-04-28
PC016;Владимир Иванов;36-45;Ж;Северо-Западный;2022-05-05
PC017;Елена Сидоров;18-25;М;Сибирский;2022-05-21
PC018;Александр Лебедев;36-45;М;Центральный;2022-05-25
PC019;Сергей Новиков;36-45;М;Уральский;2022-05-25
PC020;Елена Петров;46-55;Ж;Северо-Западный;2022-06-02
PC021;Мария Голубев;18-25;М;Приволжский;2022-06-05
PC022;Мария Голубев;46-55;Ж;Северо-Западный;2022-06-08
PC023;Ольга Волков;36-45;Ж;Сибирский;2022-06-08
PC024;Анна Смирнов;18-25;Ж;Центральный;2022-06-10
PC025;Ольга Попов;56+;Ж;Северо-Западный;2022-06-25
PC026;Сергей Иванов;18-25;Ж;Северо-Западный;2022-06-28
PC027;Сергей Петров;18-25;М;Сибирский;2022-07-02
PC028;Татьяна Попов;36-45;М;Сибирский;2022-07-13
PC029;Мария Лебедев;26-35;Ж;Приволжский;2022-07-22
PC030;Светлана Сидоров;26-35;М;Северо-Западный;2022-08-01
PC031;Ольга Лебедев;26-35;М;Сибирский;2022-08-06
PC032;Татьяна Сидоров;26-35;Ж;Приволжский;2022-08-13
PC033;Дмитрий Семенов;56+;Ж;Приволжский;2022-08-14
PC034;Александр Волков;18-25;М;Уральский;2022-08-19
PC035;Ольга Новиков;36-45;М;Центральный;2022-08-27
PC036;Ольга Лебедев;36-45;М;Сибирский;2022-08-29
PC037;Александр Попов;46-55;Ж;Центральный;2022-09-01
PC038;Андрей Семенов;18-25;Ж;Приволжский;2022-09-04
PC039;Ирина Козлов;36-45;Ж;Уральский;2022-09-05
PC040;Алексей Попов;18-25;М;Центральный;2022-09-06
PC041;Алексей Попов;46-55;Ж;Сибирский;2022-09-10
PC042;Михаил Новиков;26-35;М;Уральский;2022-09-12
PC043;Ольга Семенов;26-35;М;Сибирский;2022-09-16
PC044;Елена Голубев;26-35;Ж;Сибирский;2022-09-17
PC045;Алексей Попов;26-35;М;Центральный;2022-09-18
PC046;Светлана Попов;18-25;Ж;Приволжский;2022-09-25
PC047;Ирина Морозов;18-25;М;Приволжский;2022-09-27
PC048;Михаил Виноградов;26-35;Ж;Центральный;2022-10-01
PC049;Ольга Петров;46-55;Ж;Приволжский;2022-10-01
PC050;Анна Попов;26-35;Ж;Северо-Западный;2022-10-03
PC051;Дмитрий Смирнов;18-25;Ж;Центральный;2022-11-06
PC052;Алексей Семенов;46-55;Ж;Северо-Западный;2022-11-11
PC053;Мария Смирнов;56+;Ж;Уральский;2022-11-25
PC054;Светлана Новиков;46-55;М;Центральный;2022-12-29
PC055;Светлана Сидоров;36-45;М;Центральный;2023-01-06
PC056;Ольга Иванов;26-35;Ж;Сибирский;2023-01-12
PC057;Анна Попов;26-35;М;Сибирский;2023-01-22
PC058;Дмитрий Богданов;26-35;М;Центральный;2023-02-01
PC059;Мария Виноградов;26-35;Ж;Приволжский;2023-02-01
PC060;Александр Морозов;26-35;Ж;Сибирский;2023-02-02
PC061;Светлана Голубев;26-35;М;Центральный;2023-02-13
PC062;Елена Волков;36-45;Ж;Центральный;2023-02-14
PC063;Александр Богданов;26-35;Ж;Центральный;2023-02-19
PC064;Ольга Богданов;36-45;М;Центральный;2023-02-21
PC065;Елена Козлов;26-35;Ж;Уральский;2023-02-23
PC066;Ирина Смирнов;36-45;Ж;Северо-Западный;2023-03-02
PC067;Александр Лебедев;36-45;М;Приволжский;2023-03-06
PC068;Николай Новиков;46-55;М;Северо-Западный;2023-03-06
PC069;Владимир Богданов;26-35;Ж;Центральный;2023-03-06
PC070;Сергей Козлов;46-55;М;Уральский;2023-03-29
PC071;Сергей Голубев;36-45;М;Сибирский;2023-04-04
PC072;Михаил Богданов;26-35;Ж;Сибирский;2023-04-09
PC073;Николай Голубев;26-35;М;Центральный;2023-04-16
PC074;Алексей Семенов;36-45;М;Сибирский;2023-04-19
PC075;Владимир Попов;18-25;М;Уральский;2023-04-29
PC076;Владимир Лебедев;46-55;Ж;Центральный;2023-04-30
PC077;Елена Морозов;18-25;Ж;Уральский;2023-05-07
PC078;Елена Новиков;36-45;М;Приволжский;2023-05-08
PC079;Светлана Петров;26-35;Ж;Уральский;2023-05-20
PC080;Александр Волков;36-45;М;Уральский;2023-05-27
PC081;Владимир Новиков;26-35;М;Центральный;2023-05-28
PC082;Татьяна Виноградов;46-55;М;Северо-Западный;2023-05-29
PC083;Николай Иванов;46-55;М;Центральный;2023-06-21
PC084;Елена Лебедев;56+;Ж;Центральный;2023-06-29
PC085;Светлана Виноградов;26-35;М;Северо-Западный;2023-07-11
PC086;Алексей Новиков;56+;Ж;Сибирский;2023-07-11
PC087;Елена Виноградов;26-35;М;Центральный;2023-07-13
PC088;Ольга Козлов;26-35;Ж;Северо-Западный;2023-07-19
PC089;Николай Смирнов;18-25;М;Центральный;2023-07-20
PC090;Мария Павлов;26-35;М;Северо-Западный;2023-07-25
PC091;Дмитрий Морозов;36-45;Ж;Центральный;2023-07-27
PC092;Татьяна Попов;36-45;М;Центральный;2023-07-29
PC093;Андрей Попов;26-35;Ж;Центральный;2023-08-03
PC094;Михаил Волков;26-35;М;Центральный;2023-08-10
PC095;Ирина Новиков;36-45;Ж;Приволжский;2023-08-20
PC096;Светлана Павлов;18-25;Ж;Северо-Западный;2023-08-20
PC097;Алексей Волков;46-55;Ж;Центральный;2023-09-02
PC098;Николай Волков;56+;М;Центральный;2023-09-05
PC099;Анна Новиков;18-25;М;Приволжский;2023-09-23
PC100;Андрей Иванов;26-35;Ж;Северо-Западный;2023-09-29
PC101;Владимир Иванов;18-25;М;Центральный;2023-11-09
PC102;Алексей Виноградов;18-25;Ж;Центральный;2023-11-12
PC103;Дмитрий Смирнов;36-45;М;Центральный;2023-11-25
PC104;Александр Лебедев;36-45;Ж;Центральный;2023-11-30
