order_id;customer_name;customer_email;phone;order_date;order_amount;product_category;city;status
ORD-2024-001227;MARY JOHNSON;zvylyayebl@mail.ru;+7(999)123-45-67;2024-02-28;46958,28;books;Novosibirsk;Paid
ORD-2024-000112;elena kozlova;ftxqlfxdds@mail.ru;+7 999 123 45 67;18.01.2024;4670,31;electronics;Yekaterinburg;Pending
ORD-2024-001839;;hqyzxrqjd@mail.ru;+7 999 123 45 67;2024/02/16;3645,61;Home & Garden;СПб;Pending
ORD-ORD-2024-001676;elena kozlova;invalid.email;8(999)123-45-67;2024/02/27;30129,12;electronics;Новосибирск;pending
ORD-2024-000416;elena kozlova;itfghco@yandex.ru;8-999-123-45-67;10-01-2024;1,149,84 руб;clothing;Sankt-Petersburg;shipped
ORD-2024-001367;john smith;dktqggpfkf@outlook.com;+7(999)123-45-67;2024/01/14;18079,02;electronics;Novosibirsk;Pending
ORD-2024-000071;;wkzxvyse@yandex.ru;+7 999 123 45 67;29-02-2024;25,119,83 руб;home;Yekaterinburg;pending
ORD-2024-000531;;wzgndzu@outlook.com;8(999)123-45-67;18.03.2024;36019,44;home;Moscow;Pending
ORD-2024-000618;Peter Wilson;raligmcyt@yandex.ru;79991234567;23.02.2024;10,602,62 руб;Clothing;екатеринбург;Pending
ORD-2024-001570;Peter Wilson;qxawxuxnu@outlook.com;+7 999 123 45 67;27-03-2024;29,020,58 руб;home;Yekaterinburg;PAID
ORD-2024-001803;Peter Wilson;pswpqtiv@gmail.com;8(999)123-45-67;2024/03/18;15015,25;Clothing;СПб;paid
ORD-2024-000950;  Anna Brown  ;nrqoufr@yandex.ru;+7(999)123-45-67;26.02.2024;40,297,26 руб;sports;СПб;PAID
ORD-2024-001085;elena kozlova;ztpkjzl@mail.ru;;2024-03-30;42740,95;Books;Sankt-Petersburg;paid
ORD-2024-000129;  Anna Brown  ;qcmicj@mail.ru;8-999-123-45-67;2024/01/12;13,628,02 руб;Clothing;Moscow;Paid
ORD-2024-000368;Peter Wilson;znpwmdaned@outlook.com;8(999)123-45-67;2024/01/07;12831,03;books;екатеринбург;shipped
ORD-2024-001746;elena kozlova;nmjqoxotb@gmail.com;79991234567;21.01.2024;2961,83;clothing;Yekaterinburg;paid
