order_id;customer_id;order_date;status;shipping_address;total_amount
1;26;2023-12-28;delivered;г. Новосибирск, Красный проспект, д. 23, кв. 71;810826.86
2;16;2024-01-16;delivered;г. Санкт-Петербург, Невский проспект, д. 2, кв. 53;344975.04
3;23;2024-02-01;delivered;г. Москва, Проспект Мира, д. 189, кв. 94;335319.05
4;4;2023-10-23;delivered;г. Москва, ул. Тверская, д. 60, кв. 67;235074.27
5;9;2023-12-03;processing;г. Москва, Проспект Мира, д. 170, кв. 17;299909.6
6;45;2023-11-11;shipped;г. Новосибирск, ул. Ленина, д. 20, кв. 26;123795.68
7;10;2023-12-15;delivered;г. Екатеринбург, ул. Малышева, д. 138, кв. 46;464781.68
8;8;2023-12-27;processing;г. Москва, ул. Арбат, д. 84, кв. 19;46560.59
9;23;2023-09-22;delivered;г. Новосибирск, ул. Ленина, д. 8, кв. 52;236864.65
10;8;2023-11-05;delivered;г. Екатеринбург, ул. 8 Марта, д. 176, кв. 81;6117.12
11;17;2023-09-01;delivered;г. Санкт-Петербург, Литейный проспект, д. 114, кв. 17;39958.29
12;3;2023-09-06;processing;г. Екатеринбург, проспект Ленина, д. 102, кв. 64;103166.91
13;28;2023-11-30;delivered;г. Новосибирск, Красный проспект, д. 115, кв. 20;18277.47
14;40;2023-12-16;delivered;г. Екатеринбург, ул. Малышева, д. 23, кв. 36;484624.8
15;2;2024-03-23;delivered;г. Екатеринбург, проспект Ленина, д. 125, кв. 45;245445.89
16;50;2023-12-17;delivered;г. Санкт-Петербург, Невский проспект, д. 26, кв. 32;579062.21
17;49;2023-10-19;delivered;г. Новосибирск, ул. Ленина, д. 46, кв. 31;248705.57
18;37;2023-11-27;shipped;г. Новосибирск, ул. Ленина, д. 126, кв. 5;116118.28
19;39;2023-12-01;delivered;г. Санкт-Петербург, Невский проспект, д. 88, кв. 92;157967.9
20;38;2023-10-25;delivered;г. Новосибирск, ул. Ленина, д. 96, кв. 91;655461.16
21;28;2023-12-21;delivered;г. Санкт-Петербург, Литейный проспект, д. 144, кв. 89;733186.01
22;9;2023-11-23;processing;г. Екатеринбург, проспект Ленина, д. 9, кв. 24;125501.17
23;5;2023-12-06;cancelled;г. Москва, ул. Покровка, д. 115, кв. 2;421384.72
24;7;2023-09-13;shipped;г. Екатеринбург, ул. Малышева, д. 106, кв. 64;427268.67
25;15;2023-11-26;delivered;г. Новосибирск, ул. Ленина, д. 82, кв. 34;237062.48
26;11;2023-10-24;delivered;г. Москва, ул. Покровка, д. 153, кв. 79;547180.1
27;4;2023-11-07;delivered;г. Новосибирск, ул. Державина, д. 73, кв. 39;210993.91
28;36;2023-10-02;delivered;г. Москва, Проспект Мира, д. 23, кв. 38;621272.63
29;8;2023-12-16;shipped;г. Новосибирск, ул. Ленина, д. 165, кв. 70;242465.93
30;17;2023-12-19;delivered;г. Санкт-Петербург, Литейный проспект, д. 171, кв. 13;39307.2
31;35;2024-03-19;delivered;г. Москва, Проспект Мира, д. 134, кв. 54;537299.62
32;37;2024-03-19;cancelled;г. Санкт-Петербург, Невский проспект, д. 194, кв. 58;267240.54
33;3;2024-02-14;delivered;г. Санкт-Петербург, Литейный проспект, д. 67, кв. 41;259579.18
34;36;2023-11-28;delivered;г. Екатеринбург, ул. Малышева, д. 180, кв. 80;526554.12
35;7;2023-09-26;delivered;г. Новосибирск, Красный проспект, д. 68, кв. 50;258758.01
36;40;2024-02-13;delivered;г. Екатеринбург, ул. 8 Марта, д. 177, кв. 31;58742.42
37;18;2023-09-11;delivered;г. Новосибирск, Красный проспект, д. 126, кв. 90;135207.05
38;20;2023-12-25;delivered;г. Новосибирск, ул. Державина, д. 107, кв. 78;201720.96
39;14;2023-12-24;shipped;г. Новосибирск, ул. Ленина, д. 132, кв. 21;339257.52
40;33;2024-03-28;shipped;г. Москва, ул. Арбат, д. 50, кв. 26;171427.4
41;30;2023-12-23;delivered;г. Новосибирск, Красный проспект, д. 119, кв. 65;580058.66
42;29;2023-12-19;shipped;г. Новосибирск, Красный проспект, д. 42, кв. 34;110726.55
43;25;2023-11-28;delivered;г. Санкт-Петербург, Литейный проспект, д. 53, кв. 35;162022.25
44;42;2023-11-08;delivered;г. Новосибирск, ул. Державина, д. 182, кв. 83;160685.72
45;30;2024-01-27;processing;г. Екатеринбург, проспект Ленина, д. 27, кв. 1;239100.84
46;31;2023-12-21;delivered;г. Новосибирск, Красный проспект, д. 168, кв. 92;258881.55
47;26;2024-02-05;delivered;г. Екатеринбург, ул. 8 Марта, д. 67, кв. 54;244464.67
