ID_клиента,Имя,Сегмент,Возраст,Город,Дата_регистрации,Предпочитаемая_категория,Средний_чек
C001,Наталья_1,Обычный,62,Москва,2022-07-24,Спорт,3593
C002,Владимир_2,Обычный,21,Омск,2021-07-26,Одежда,2416
C003,Татьяна_3,Обычный,44,Москва,2023-07-30,Дом и сад,1255
C004,Наталья_4,Новый,62,Красноярск,2021-10-28,Спорт,890
C005,Татьяна_5,Обычный,39,СПб,2021-12-14,Спорт,4299
C006,Татьяна_6,Обычный,69,СПб,2024-02-12,Спорт,2170
C007,Елена_7,Обычный,53,Ростов-на-Дону,2024-05-26,Книги,1305
C008,Татьяна_8,Обычный,57,Уфа,2023-01-28,Спорт,1755
C009,Сергей_9,Обычный,67,Омск,2021-05-08,Одежда,1898
C010,Андрей_10,Новый,27,Москва,2020-11-24,Дом и сад,2296
C011,Ирина_11,Обычный,32,Самара,2023-10-05,Электроника,3396
C012,Татьяна_12,Обычный,26,Новосибирск,2023-03-25,Книги,1413
C013,Мария_13,Обычный,38,Красноярск,2024-01-24,Спорт,3358
C014,Светлана_14,Обычный,58,СПб,2021-08-18,Электроника,1568
C015,Мария_15,Новый,54,Красноярск,2020-08-25,Книги,1172
C016,Мария_16,Обычный,67,Москва,2021-09-28,Электроника,3147
C017,Елена_17,Новый,60,Нижний Новгород,2024-04-28,Дом и сад,2075
C018,Владимир_18,Обычный,44,Новосибирск,2020-08-06,Спорт,1230
C019,Сергей_19,Обычный,36,Казань,2021-03-24,Спорт,3444
C020,Владимир_20,Обычный,48,Уфа,2023-12-10,Электроника,3176
C021,Максим_21,Обычный,44,Казань,2023-12-17,Книги,2778
C022,Елена_22,Обычный,43,Челябинск,2020-04-30,Дом и сад,1704
C023,Елена_23,Новый,60,Новосибирск,2023-12-05,Электроника,2339
C024,Дмитрий_24,Обычный,61,Казань,2023-09-12,Одежда,4471
C025,Ольга_25,Обычный,37,Нижний Новгород,2024-03-31,Спорт,2491
C026,Максим_26,Новый,34,Красноярск,2023-01-27,Спорт,604
C027,Мария_27,Обычный,54,Москва,2023-12-24,Дом и сад,2710
C028,Дмитрий_28,Обычный,47,Самара,2021-08-19,Одежда,1892
C029,Елена_29,VIP,54,Красноярск,2023-03-24,Электроника,6552
C030,Владимир_30,Новый,38,Уфа,2020-12-10,Электроника,602
C031,Татьяна_31,VIP,30,Омск,2023-08-24,Дом и сад,6170
C032,Владимир_32,Обычный,49,Москва,2020-08-31,Одежда,2509
C033,Максим_33,Новый,52,Уфа,2024-03-06,Спорт,2029
C034,Андрей_34,Обычный,56,Уфа,2022-02-21,Дом и сад,3287
C035,Сергей_35,Обычный,38,СПб,2020-09-06,Спорт,3317
C036,Игорь_36,Обычный,20,Ростов-на-Дону,2022-09-09,Дом и сад,3489
C037,Анна_37,Обычный,57,Самара,2023-08-13,Спорт,2185
C038,Владимир_38,VIP,26,Омск,2021-01-13,Спорт,7158
C039,Александр_39,Обычный,39,Омск,2022-09-27,Электроника,2912
C040,Анна_40,Обычный,54,Уфа,2020-08-28,Одежда,4045
C041,Дмитрий_41,Обычный,18,Нижний Новгород,2020-09-08,Электроника,1625
C042,Елена_42,VIP,50,Казань,2024-03-22,Электроника,3881
C043,Анна_43,Обычный,44,Омск,2020-12-17,Спорт,4424
C044,Александр_44,VIP,33,Омск,2024-05-22,Дом и сад,6466
C045,Сергей_45,Обычный,28,Нижний Новгород,2022-12-06,Дом и сад,3200
C046,Елена_46,Обычный,52,Москва,2021-04-30,Электроника,1821
C047,Максим_47,Обычный,61,Екатеринбург,2023-05-18,Книги,1913
C048,Наталья_48,Обычный,34,Челябинск,2020-06-01,Книги,2041
C049,Ольга_49,Обычный,50,Самара,2020-06-19,Дом и сад,3433
C050,Владимир_50,VIP,45,Красноярск,2021-07-05,Одежда,6715
C051,Дмитрий_51,Обычный,40,Челябинск,2022-02-15,Электроника,4381
C052,Игорь_52,Обычный,25,СПб,2023-11-01,Книги,2542
C053,Мария_53,Обычный,49,Нижний Новгород,2024-05-12,Дом и сад,1683
C054,Игорь_54,VIP,34,Новосибирск,2022-02-14,Электроника,7022
C055,Анна_55,Обычный,30,Казань,2023-04-20,Спорт,1515
C056,Наталья_56,Обычный,52,Омск,2021-07-09,Книги,1527
C057,Алексей_57,Новый,29,Челябинск,2021-01-05,Дом и сад,2093
C058,Ольга_58,Обычный,43,Москва,2023-11-07,Книги,3554
C059,Владимир_59,Обычный,28,Казань,2020-04-18,Дом и сад,3535
C060,Игорь_60,Обычный,51,Самара,2021-01-09,Спорт,4455
C061,Сергей_61,Обычный,44,Челябинск,2022-12-02,Одежда,2207
C062,Андрей_62,Обычный,67,Нижний Новгород,2020-07-03,Электроника,1453
C063,Игорь_63,Обычный,66,Москва,2020-06-22,Дом и сад,3029
C064,Татьяна_64,VIP,58,Челябинск,2023-10-18,Книги,7696
C065,Владимир_65,Обычный,43,Уфа,2022-12-26,Электроника,2538
C066,Елена_66,Обычный,64,Красноярск,2022-05-20,Книги,3674
C067,Игорь_67,Обычный,70,Омск,2023-11-01,Книги,1340
C068,Сергей_68,Обычный,68,Омск,2021-04-05,Одежда,1448
C069,Владимир_69,Новый,44,Челябинск,2022-10-11,Спорт,758
C070,Анна_70,Обычный,37,Омск,2024-04-18,Электроника,2157
C071,Татьяна_71,Обычный,35,Красноярск,2023-07-16,Книги,2499
C072,Максим_72,Новый,65,Омск,2020-03-13,Спорт,2274
C073,Татьяна_73,VIP,25,Самара,2021-11-03,Дом и сад,5093
C074,Александр_74,Обычный,37,Челябинск,2021-12-27,Электроника,1534
C075,Татьяна_75,Обычный,31,Екатеринбург,2022-04-21,Электроника,4213
C076,Александр_76,Обычный,29,Новосибирск,2022-08-21,Спорт,2435
C077,Наталья_77,Обычный,40,Казань,2020-08-10,Спорт,3366
C078,Сергей_78,Обычный,29,Челябинск,2020-01-12,Дом и сад,4116
C079,Елена_79,Обычный,27,Екатеринбург,2022-03-19,Спорт,3655
C080,Алексей_80,Обычный,29,Самара,2023-09-24,Дом и сад,1592
C081,Татьяна_81,Обычный,46,Красноярск,2020-09-17,Дом и сад,3679
C082,Ольга_82,Новый,44,Челябинск,2020-09-26,Электроника,2411
C083,Александр_83,Обычный,28,Москва,2024-04-20,Одежда,1372
C084,Мария_84,Обычный,40,Москва,2022-06-08,Спорт,2155
C085,Татьяна_85,Обычный,26,Ростов-на-Дону,2020-11-08,Книги,1817
C086,Ирина_86,Обычный,55,Красноярск,2021-05-21,Спорт,1855
C087,Анна_87,Обычный,52,Екатеринбург,2021-01-21,Книги,3275
C088,Владимир_88,Обычный,32,Москва,2021-07-14,Одежда,4266
C089,Светлана_89,Обычный,20,Москва,2022-02-17,Спорт,2932
C090,Игорь_90,Обычный,32,Москва,2022-11-10,Спорт,3325
C091,Максим_91,Обычный,27,Нижний Новгород,2023-12-28,Спорт,2015
C092,Алексей_92,VIP,30,Уфа,2024-03-05,Дом и сад,4454
C093,Татьяна_93,Обычный,34,Челябинск,2021-01-13,Дом и сад,4329
C094,Наталья_94,Обычный,36,Уфа,2020-01-28,Книги,3743
C095,Владимир_95,Обычный,36,Нижний Новгород,2024-03-01,Книги,2945
C096,Наталья_96,Обычный,32,Ростов-на-Дону,2022-02-25,Электроника,4128
C097,Владимир_97,Обычный,49,Москва,2023-04-16,Одежда,1837
C098,Сергей_98,VIP,65,Омск,2023-06-21,Дом и сад,4857
C099,Татьяна_99,Обычный,69,Красноярск,2020-11-10,Электроника,1622
C100,Светлана_100,Обычный,46,Омск,2021-12-12,Дом и сад,2680
C101,Анна_101,VIP,64,Челябинск,2022-12-08,Книги,7059
C102,Дмитрий_102,Обычный,48,Екатеринбург,2021-08-16,Электроника,4354
C103,Алексей_103,Обычный,57,Красноярск,2022-03-25,Спорт,3459
C104,Андрей_104,Обычный,29,Челябинск,2023-02-25,Спорт,2523
C105,Ирина_105,VIP,31,Ростов-на-Дону,2021-03-22,Книги,6635
C106,Сергей_106,Обычный,44,Казань,2021-09-13,Одежда,2178
C107,Ирина_107,Обычный,46,Москва,2022-12-28,Одежда,2163
C108,Владимир_108,Обычный,66,Екатеринбург,2021-07-07,Электроника,3320
C109,Игорь_109,Обычный,69,СПб,2020-01-03,Дом и сад,3288
C110,Наталья_110,Новый,36,Омск,2021-06-24,Одежда,1258
C111,Максим_111,VIP,36,Москва,2021-12-29,Одежда,6787
C112,Ирина_112,Новый,30,Омск,2023-09-08,Книги,624
C113,Ольга_113,Обычный,67,Уфа,2023-07-23,Книги,3018
C114,Сергей_114,Обычный,32,Ростов-на-Дону,2023-07-13,Спорт,1714
C115,Игорь_115,Обычный,53,Екатеринбург,2022-09-08,Электроника,2837
C116,Сергей_116,Обычный,30,Новосибирск,2023-03-12,Спорт,4313
C117,Дмитрий_117,VIP,50,Екатеринбург,2020-12-29,Спорт,6593
C118,Елена_118,VIP,25,Новосибирск,2022-07-20,Спорт,3951
C119,Владимир_119,Обычный,53,Ростов-на-Дону,2020-07-23,Спорт,2467
C120,Анна_120,Обычный,59,Уфа,2020-03-30,Одежда,2020
C121,Андрей_121,Новый,34,Ростов-на-Дону,2020-01-28,Электроника,2411
C122,Анна_122,Обычный,45,Красноярск,2020-06-23,Одежда,1659
C123,Сергей_123,Обычный,58,Самара,2020-11-12,Одежда,1384
C124,Ирина_124,Обычный,49,Москва,2020-07-29,Книги,2179
C125,Светлана_125,Новый,28,Москва,2021-04-09,Спорт,1209
C126,Наталья_126,Обычный,50,Уфа,2022-02-26,Электроника,2823
C127,Анна_127,Новый,32,Казань,2022-01-01,Электроника,1693
C128,Анна_128,Новый,38,СПб,2020-03-29,Книги,717
C129,Светлана_129,Обычный,45,Уфа,2022-05-20,Одежда,4147
C130,Максим_130,Обычный,49,СПб,2021-07-09,Спорт,3384
C131,Ирина_131,Обычный,58,СПб,2020-01-05,Одежда,3767
C132,Владимир_132,Обычный,36,Красноярск,2024-05-27,Спорт,3888
C133,Анна_133,Новый,47,Казань,2020-10-23,Электроника,1078
C134,Владимир_134,Обычный,30,Нижний Новгород,2022-10-09,Спорт,2788
C135,Светлана_135,Обычный,48,Екатеринбург,2023-09-01,Одежда,2465
C136,Татьяна_136,Обычный,45,Омск,2021-04-16,Спорт,1476
C137,Светлана_137,Обычный,45,Красноярск,2021-03-25,Электроника,1976
C138,Александр_138,Обычный,31,Нижний Новгород,2023-02-17,Спорт,4360
C139,Анна_139,Обычный,25,Екатеринбург,2021-08-26,Спорт,1676
C140,Светлана_140,Обычный,33,Москва,2024-03-09,Одежда,1587
C141,Владимир_141,VIP,38,Челябинск,2022-01-31,Электроника,6656
C142,Андрей_142,Обычный,43,Екатеринбург,2020-03-02,Одежда,2405
C143,Андрей_143,VIP,33,Челябинск,2020-11-02,Одежда,5614
C144,Владимир_144,Обычный,54,Казань,2022-08-20,Спорт,3584
C145,Сергей_145,Обычный,56,Казань,2020-08-15,Одежда,1398
C146,Алексей_146,Обычный,48,Екатеринбург,2020-01-23,Спорт,3948
C147,Сергей_147,Обычный,46,Ростов-на-Дону,2022-10-24,Дом и сад,3541
C148,Светлана_148,Обычный,66,СПб,2022-12-04,Спорт,4427
C149,Владимир_149,Обычный,54,Москва,2021-03-24,Спорт,1806
C150,Андрей_150,Обычный,58,Нижний Новгород,2023-08-29,Спорт,3930
C151,Дмитрий_151,Обычный,24,Челябинск,2021-02-02,Дом и сад,1558
C152,Андрей_152,Обычный,38,Нижний Новгород,2020-02-27,Одежда,2131
C153,Анна_153,Обычный,25,Казань,2021-01-19,Книги,1866
C154,Алексей_154,VIP,32,Ростов-на-Дону,2023-03-02,Электроника,6037
C155,Татьяна_155,Обычный,23,Казань,2020-01-18,Дом и сад,3681
C156,Ольга_156,Обычный,44,Челябинск,2024-01-26,Дом и сад,4414
C157,Анна_157,Обычный,36,Омск,2020-07-25,Книги,3865
C158,Владимир_158,Обычный,21,Самара,2023-04-15,Электроника,2157
C159,Владимир_159,VIP,51,Уфа,2020-07-10,Одежда,7480
C160,Владимир_160,Обычный,55,Омск,2022-11-23,Книги,3350
C161,Мария_161,Обычный,41,Казань,2022-01-07,Книги,4025
C162,Светлана_162,Обычный,23,Уфа,2022-03-04,Одежда,1889
C163,Андрей_163,Обычный,67,Самара,2020-07-18,Электроника,1671
C164,Максим_164,Новый,46,СПб,2022-10-18,Электроника,1355
C165,Дмитрий_165,Обычный,66,Казань,2023-03-26,Дом и сад,2366
C166,Андрей_166,Обычный,30,Казань,2022-08-27,Дом и сад,3718
C167,Сергей_167,Обычный,50,СПб,2023-03-10,Спорт,1331
C168,Максим_168,Обычный,39,Уфа,2020-09-21,Спорт,2410
C169,Мария_169,Обычный,38,Омск,2022-07-10,Дом и сад,4095
C170,Алексей_170,Обычный,49,Красноярск,2021-05-16,Книги,1226
C171,Анна_171,Обычный,35,Челябинск,2020-05-29,Одежда,2481
C172,Сергей_172,Обычный,51,Самара,2023-08-08,Книги,4170
C173,Сергей_173,Обычный,27,СПб,2022-03-23,Спорт,1858
C174,Мария_174,Обычный,25,Ростов-на-Дону,2022-09-22,Одежда,3518
C175,Татьяна_175,Обычный,27,Омск,2020-11-14,Спорт,1680
C176,Елена_176,VIP,36,Ростов-на-Дону,2024-05-04,Спорт,3781
C177,Наталья_177,Новый,57,Новосибирск,2020-04-20,Одежда,2223
C178,Светлана_178,Обычный,34,СПб,2020-10-17,Электроника,2104
C179,Андрей_179,Обычный,35,Челябинск,2022-12-10,Одежда,3410
C180,Ирина_180,VIP,30,Челябинск,2021-12-01,Дом и сад,4240
C181,Наталья_181,Обычный,66,Омск,2023-11-11,Одежда,4386
C182,Светлана_182,Обычный,37,Челябинск,2020-01-21,Книги,3784
C183,Елена_183,Обычный,25,Ростов-на-Дону,2020-10-23,Дом и сад,3391
C184,Мария_184,Обычный,19,Екатеринбург,2022-10-19,Дом и сад,1575
C185,Светлана_185,Обычный,33,Самара,2020-09-14,Спорт,3308
C186,Анна_186,Обычный,22,Новосибирск,2022-05-10,Книги,3755
C187,Ольга_187,Обычный,31,Новосибирск,2023-10-23,Книги,4352
C188,Наталья_188,VIP,58,Казань,2022-10-25,Электроника,6647
C189,Сергей_189,Обычный,40,Омск,2022-05-22,Книги,4414
C190,Мария_190,Обычный,27,Челябинск,2022-02-03,Одежда,3024
C191,Дмитрий_191,Обычный,45,Уфа,2023-11-11,Спорт,3293
C192,Анна_192,Обычный,70,СПб,2020-07-02,Электроника,3234
C193,Светлана_193,Обычный,27,Ростов-на-Дону,2023-01-20,Электроника,3291
C194,Алексей_194,Обычный,51,Новосибирск,2021-04-01,Спорт,3020
C195,Анна_195,Обычный,31,СПб,2021-12-19,Спорт,2563
C196,Ольга_196,Обычный,18,Новосибирск,2022-11-05,Дом и сад,2083
C197,Ирина_197,Новый,35,Челябинск,2023-10-10,Одежда,409
C198,Светлана_198,VIP,22,Нижний Новгород,2022-11-28,Книги,4929
C199,Дмитрий_199,Новый,67,Новосибирск,2023-02-12,Спорт,805
C200,Ольга_200,Обычный,59,Ростов-на-Дону,2022-05-28,Одежда,4300
