customer_id;customer_name;email;phone;country;city;registration_date;customer_segment;birth_date;is_active
1;Клиент 0001;customer1@example.com;+79825660639;Украина;Казань;2025-03-09;Премиум;2004-04-25;1
2;Клиент 0002;customer2@example.com;+79365929309;Россия;Новосибирск;2023-10-24;Премиум;1982-12-15;1
3;Клиент 0003;customer3@example.com;+79175854055;Россия;Челябинск;2024-04-19;Премиум;1972-03-31;0
4;Клиент 0004;customer4@example.com;+79786021164;Украина;Санкт-Петербург;2023-11-27;Премиум;2003-09-07;1
5;Клиент 0005;customer5@example.com;+79848333181;Россия;Казань;2024-12-19;Стандарт;1965-07-09;0
6;Клиент 0006;customer6@example.com;+79825487074;Беларусь;Нижний Новгород;2025-06-20;Экономный;1991-01-16;0
7;Клиент 0007;customer7@example.com;+79606464448;Беларусь;Москва;2022-09-20;Стандарт;1993-11-05;0
8;Клиент 0008;customer8@example.com;+79558999658;Украина;Нижний Новгород;2022-12-13;Экономный;1963-12-19;1
9;Клиент 0009;customer9@example.com;+79981019831;Украина;Казань;2025-03-18;Премиум;1966-06-19;1
10;Клиент 0010;customer10@example.com;+79949098221;Россия;Самара;2023-06-25;Стандарт;1985-12-05;1
11;Клиент 0011;customer11@example.com;+79892927849;Беларусь;Москва;2025-03-07;Стандарт;2006-06-05;1
12;Клиент 0012;customer12@example.com;+79777027603;Россия;Казань;2022-11-12;Стандарт;1981-12-17;1
13;Клиент 0013;customer13@example.com;+79165100343;Узбекистан;Самара;2024-09-05;Стандарт;1973-01-13;0
14;Клиент 0014;customer14@example.com;+79489991690;Казахстан;Москва;2024-12-02;Стандарт;2005-09-04;1
15;Клиент 0015;customer15@example.com;+79681040540;Украина;Москва;2023-03-29;Премиум;1964-05-03;1
16;Клиент 0016;customer16@example.com;+79089019119;Украина;Москва;2025-03-06;Экономный;1975-03-20;0
17;Клиент 0017;customer17@example.com;+79031285472;Беларусь;Казань;2023-05-30;Стандарт;2002-12-05;1
18;Клиент 0018;customer18@example.com;+79374056241;Россия;Новосибирск;2023-05-09;Стандарт;1972-03-30;1
19;Клиент 0019;customer19@example.com;+79399549663;Казахстан;Санкт-Петербург;2024-11-13;Экономный;1961-10-08;1
20;Клиент 0020;customer20@example.com;+79156915804;Беларусь;Челябинск;2023-12-16;Стандарт;1974-03-03;1
21;Клиент 0021;customer21@example.com;+79128383256;Казахстан;Ростов-на-Дону;2022-10-10;Стандарт;1973-03-29;0
