дата;день_недели;время;клиент;услуга;стоимость;мастер
16.09;Понедельник;14:00;Козлов Д.;Стрижка женская;1500;Татьяна
16.09;Понедельник;14:00;Козлов Д.;Окрашивание;2500;Анна
16.09;Понедельник;15:00;Сидорова М.;Мелирование;3500;Анна
16.09;Понедельник;15:00;Волкова Е.;Стрижка мужская;800;Елена
16.09;Понедельник;16:00;Иванова А.;Укладка;800;Анна
16.09;Понедельник;9:00;Иванова А.;Окрашивание;2500;Елена
16.09;Понедельник;9:00;Сидорова М.;Стрижка мужская;800;Анна
17.09;Вторник;10:00;Волкова Е.;Стрижка мужская;800;Елена
17.09;Вторник;14:00;Сидорова М.;Окрашивание;2500;Анна
17.09;Вторник;14:00;Белов И.;Стрижка женская;1500;Анна
17.09;Вторник;15:00;Волкова Е.;Укладка;800;Татьяна
17.09;Вторник;16:00;Иванова А.;Окрашивание;2500;Елена
17.09;Вторник;17:00;Волкова Е.;Мелирование;3500;Татьяна
18.09;Среда;11:00;Белов И.;Стрижка мужская;800;Татьяна
18.09;Среда;11:00;Волкова Е.;Стрижка женская;1500;Татьяна
18.09;Среда;14:00;Сидорова М.;Стрижка женская;1500;Татьяна
18.09;Среда;16:00;Петров С.;Окрашивание;2500;Анна
18.09;Среда;17:00;Морозова О.;Укладка;800;Елена
18.09;Среда;9:00;Белов И.;Стрижка мужская;800;Елена
18.09;Среда;9:00;Белов И.;Стрижка женская;1500;Татьяна
19.09;Четверг;10:00;Волкова Е.;Мелирование;3500;Татьяна
19.09;Четверг;10:00;Петров С.;Стрижка женская;1500;Анна
19.09;Четверг;11:00;Сидорова М.;Окрашивание;2500;Татьяна
19.09;Четверг;11:00;Волкова Е.;Укладка;800;Елена
19.09;Четверг;14:00;Козлов Д.;Окрашивание;2500;Татьяна
19.09;Четверг;15:00;Козлов Д.;Укладка;800;Елена
19.09;Четверг;17:00;Сидорова М.;Стрижка женская;1500;Анна
20.09;Пятница;10:00;Петров С.;Укладка;800;Анна
20.09;Пятница;15:00;Козлов Д.;Стрижка женская;1500;Елена
20.09;Пятница;15:00;Сидорова М.;Мелирование;3500;Анна
20.09;Пятница;15:00;Иванова А.;Окрашивание;2500;Анна
20.09;Пятница;9:00;Сидорова М.;Стрижка женская;1500;Анна
21.09;Суббота;10:00;Белов И.;Стрижка мужская;800;Анна
21.09;Суббота;11:00;Белов И.;Укладка;800;Татьяна
21.09;Суббота;11:00;Волкова Е.;Укладка;800;Елена
21.09;Суббота;13:00;Сидорова М.;Укладка;800;Анна
21.09;Суббота;13:00;Сидорова М.;Мелирование;3500;Татьяна
21.09;Суббота;14:00;Козлов Д.;Стрижка женская;1500;Елена
21.09;Суббота;15:00;Петров С.;Окрашивание;2500;Татьяна
21.09;Суббота;16:00;Козлов Д.;Стрижка женская;1500;Анна
21.09;Суббота;18:00;Петров С.;Мелирование;3500;Анна
22.09;Воскресенье;11:00;Белов И.;Окрашивание;2500;Елена
22.09;Воскресенье;12:00;Волкова Е.;Мелирование;3500;Елена
22.09;Воскресенье;12:00;Белов И.;Окрашивание;2500;Татьяна
22.09;Воскресенье;14:00;Козлов Д.;Мелирование;3500;Анна
22.09;Воскресенье;16:00;Морозова О.;Мелирование;3500;Татьяна
22.09;Воскресенье;16:00;Сидорова М.;Окрашивание;2500;Анна
