фио;Математический анализ;Программирование;Физика;Английский язык;История
Иванов Петр Алексеевич;2.5;3.0;3.0;3.0;3.0
Петрова Анна Сергеевна;4.5;5.0;4.5;5.0;5.0
Сидоров Михаил Дмитриевич;3.0;2.5;3.0;3.0;2.5
Козлова Елена Владимировна;3.0;3.0;3.0;3.0;3.0
Смирнов Алексей Игоревич;4.0;4.5;5.0;4.5;5.0
Волкова Ольга Николаевна;3.5;3.5;4.0;3.5;4.0
Морозов Дмитрий Андреевич;4.5;4.0;4.0;4.0;4.5
Белова Татьяна Викторовна;3.5;3.0;2.5;3.0;3.0
Новиков Сергей Романович;5.0;5.0;4.5;4.5;4.5
Соколова Мария Александровна;4.5;5.0;4.0;5.0;5.0
Лебедев Андрей Павлович;2.5;3.0;3.0;3.0;2.5
Федорова Ирина Олеговна;4.5;5.0;4.5;4.5;5.0
Попов Николай Евгеньевич;4.0;4.0;4.0;4.5;4.5
Захарова Светлана Ивановна;4.0;4.0;4.0;4.0;4.0
Воронов Максим Артемович;4.0;3.5;4.0;4.0;4.5
Кузнецова Юлия Владиславовна;4.0;5.0;4.0;4.5;5.0
Орлов Артем Юрьевич;5.0;5.0;4.5;5.0;5.0
Васильева Екатерина Денисовна;3.0;3.5;2.5;3.5;3.5
Егоров Владислав Станиславович;3.0;3.0;3.5;3.0;3.0
Макарова Наталья Федоровна;3.0;3.5;4.0;3.5;3.0
