фио;возраст;направление
Иванов Петр Алексеевич;19;Информатика
Петрова Анна Сергеевна;20;Математика
Сидоров Михаил Дмитриевич;18;Информатика
Козлова Елена Владимировна;21;Физика
Смирнов Алексей Игоревич;19;Информатика
Волкова Ольга Николаевна;20;Математика
Морозов Дмитрий Андреевич;18;Информатика
Белова Татьяна Викторовна;22;Физика
Новиков Сергей Романович;19;Информатика
Соколова Мария Александровна;20;Математика
Лебедев Андрей Павлович;21;Физика
Федорова Ирина Олеговна;19;Информатика
Попов Николай Евгеньевич;20;Математика
Захарова Светлана Ивановна;18;Информатика
Воронов Максим Артемович;19;Физика
Кузнецова Юлия Владиславовна;21;Математика
Орлов Артем Юрьевич;18;Информатика
Васильева Екатерина Денисовна;20;Физика
Егоров Владислав Станиславович;19;Информатика
Макарова Наталья Федоровна;22;Математика
