id;фио;город;возраст;сумма_покупок;дата_регистрации
CL1000;Сидорова Сергей;Казань;33;76461;02.05.2024
CL1001;Петрова Анна;Омск;40;47880;16.08.2024
CL1002;Сидоров Наталья;Санкт-Петербург;31;38338;27.07.2024
CL1003;Сидоров Анна;Екатеринбург;34;45614;06.02.2024
CL1004;Васильев Елена;Ростов-на-Дону;28;73806;11.04.2024
CL1005;Сидоров Максим;Москва;39;17869;12.03.2024
CL1006;Васильева Сергей;Казань;43;67137;26.01.2024
CL1007;Кузнецов Ирина;Казань;55;20586;19.06.2024
CL1008;Иванов Наталья;Санкт-Петербург;28;18382;27.07.2024
CL1009;Попова Мария;Омск;59;11234;13.02.2024
CL1010;Сидоров Наталья;Казань;53;34766;16.08.2024
CL1011;Петрова Максим;Москва;57;44493;22.11.2024
CL1012;Иванова Сергей;Санкт-Петербург;26;64172;19.11.2024
CL1013;Петрова Андрей;Казань;43;30599;13.05.2024
CL1014;Кузнецов Анна;Москва;19;40179;10.02.2024
CL1015;Сидоров Наталья;Омск;38;56098;08.06.2024
CL1016;Смирнова Сергей;Омск;18;5467;20.03.2024
CL1017;Попова Юлия;Челябинск;40;46458;22.11.2024
CL1018;Иванова Александр;Санкт-Петербург;56;18052;10.11.2024
CL1019;Васильева Татьяна;Челябинск;47;17648;23.04.2024
CL1020;Иванов Ирина;Новосибирск;23;6931;13.11.2024
CL1021;Попова Мария;Самара;64;9025;01.04.2024
CL1022;Попов Ирина;Москва;30;79975;13.06.2024
CL1023;Иванов Анна;Екатеринбург;51;26016;22.01.2024
CL1024;Кузнецов Елена;Ростов-на-Дону;38;40342;27.01.2024
CL1025;Петров Сергей;Ростов-на-Дону;44;47549;23.04.2024
CL1026;Васильева Мария;Самара;35;44384;03.04.2024
CL1027;Петров Мария;Челябинск;60;25942;05.11.2024
CL1028;Сидоров Юлия;Омск;39;56855;16.07.2024
CL1029;Кузнецова Дмитрий;Омск;34;62752;12.07.2024
CL1030;Иванова Андрей;Санкт-Петербург;50;38610;16.12.2024
CL1031;Васильева Ольга;Челябинск;42;78729;18.11.2024
CL1032;Смирнов Александр;Ростов-на-Дону;44;77175;28.10.2024
CL1033;Смирнов Елена;Омск;53;10659;24.09.2024
CL1034;Петрова Анна;Екатеринбург;33;30285;22.08.2024
CL1035;Сидорова Елена;Челябинск;28;58347;05.08.2024
CL1036;Васильев Артем;Екатеринбург;21;39595;28.02.2024
CL1037;Попов Алексей;Москва;40;51415;19.08.2024
CL1038;Кузнецова Ирина;Самара;26;47325;19.06.2024
CL1039;Петров Дмитрий;Новосибирск;62;8879;27.09.2024
CL1040;Иванова Наталья;Челябинск;47;25649;09.07.2024
CL1041;Васильева Анна;Ростов-на-Дону;54;20496;26.02.2024
CL1042;Васильева Елена;Екатеринбург;50;7572;06.09.2024
CL1043;Попов Александр;Санкт-Петербург;29;35060;06.01.2024
CL1044;Сидоров Александр;Челябинск;30;57107;07.10.2024
CL1045;Смирнова Мария;Челябинск;53;31656;06.10.2024
CL1046;Смирнов Артем;Омск;41;19887;15.11.2024
CL1047;Попова Сергей;Санкт-Петербург;53;17869;03.12.2024
CL1048;Васильева Алексей;Челябинск;52;12741;08.12.2024
CL1049;Попов Мария;Самара;35;55861;25.09.2024
CL1050;Петрова Ирина;Омск;60;32138;20.07.2024
CL1051;Васильева Александр;Санкт-Петербург;49;29332;20.12.2024
CL1052;Смирнов Андрей;Самара;64;9503;16.08.2024
CL1053;Сидоров Артем;Челябинск;41;13001;28.10.2024
CL1054;Васильева Максим;Нижний Новгород;29;50629;23.12.2024
CL1055;Попова Мария;Самара;28;17279;09.12.2024
CL1056;Кузнецова Юлия;Омск;56;45944;20.04.2024
CL1057;Сидоров Алексей;Самара;34;15440;15.07.2024
